	Full Address	BLT	Vacant	zip+4	zip	street	housenumber
6	3838 REISTERSTOWN RD BALTIMORE | MD 21215-7616	0x00690C0000201400000020	1	7616	21215	 Reisterstown Road 	3838
18	3807 PARK HEIGHTS AVE BALTIMORE | MD 21215-7611	0x000D0D0000200400000020	1	7611	21215	 Park Heights Avenue 	3807
25	4802 PALMER AVE BALTIMORE | MD 21215-6006	0x0008120000206A00000020	1	6006	21215	 Palmer Avenue 	4802
53	2602 LOYOLA SOUTHWAY BALTIMORE | MD 21215-7029	0x00130D0000440200000020	1	7029	21215	 Loyola Southway 	2602
68	3007 OAKLEY AVE BALTIMORE | MD 21215-6019	0x0008120000204E00000020	1	6019	21215	 Oakley Avenue 	3007
70	2622 LEHMAN ST BALTIMORE | MD 21223-2809	0x005C080000203E00000020	1	2809	21223	 Lehman Street 	2622
84	1420 N LUZERNE AVE BALTIMORE | MD 21213-3718	0x00E1050000201C00000020	1	3718	21213	 North Luzerne Avenue 	1420
110	719 N LONGWOOD ST BALTIMORE | MD 21216-4629	0x00B1090000202600000047	1	4629	21216	 North Longwood Street 	719
128	2519 KEYWORTH AVE BALTIMORE | MD 21215-7648	0x000C0D0000201500000020	1	7648	21215	 Keyworth Avenue 	2519
133	4900 PALMER AVE BALTIMORE | MD 21215-6008	0x0004120000201700000020	1	6008	21215	 Palmer Avenue 	4900
148	2204 EAGLE ST BALTIMORE | MD 21223-3322	0x00BD020000200A00000020	1	3322	21223	 Eagle Street 	2204
179	3033 W GARRISON AVE BALTIMORE | MD 21215-6015	0x0005120000200A00000020	1	6015	21215	 West Garrison Avenue 	3033
231	2035 DIVISION ST BALTIMORE | MD 21217-3323	0x003A010000202A00000020	1	3323	21217	 Division Street 	2035
261	1521 N PATTERSON PARK AVE BALTIMORE | MD 21213-3432	0x00CC050000200B00000020	1	3432	21213	 North Patterson Park Avenue 	1521
267	3628 REISTERSTOWN RD BALTIMORE | MD 21215-7742	0x00650C0000200200000020	1	7742	21215	 Reisterstown Road 	3628
269	5017 PALMER AVE BALTIMORE | MD 21215-5136	0x00EB110000201700000020	1	5136	21215	 Palmer Avenue 	5017
278	1525 N PATTERSON PARK AVE BALTIMORE | MD 21213-3432	0x00CC050000200D00000020	1	3432	21213	 North Patterson Park Avenue 	1525
