CMDLINE python 19-Quick-Implement-for-difference-distance.py
MEM 4.621094 1514433466.0299
MEM 16.175781 1514433466.1417
MEM 30.437500 1514433466.2503
MEM 43.371094 1514433466.3580
MEM 65.050781 1514433466.4683
MEM 84.378906 1514433466.5769
MEM 90.046875 1514433466.6878
MEM 90.363281 1514433466.7983
MEM 90.632812 1514433466.9090
MEM 90.886719 1514433467.0151
MEM 90.988281 1514433467.1258
MEM 91.093750 1514433467.2347
MEM 91.191406 1514433467.3435
MEM 91.296875 1514433467.4556
MEM 105.984375 1514433467.5671
MEM 112.476562 1514433467.6782
MEM 114.171875 1514433467.7895
MEM 114.542969 1514433467.9003
MEM 124.734375 1514433468.0117
MEM 126.132812 1514433468.1225
MEM 127.230469 1514433468.2318
MEM 127.839844 1514433468.3407
MEM 127.839844 1514433468.4532
MEM 145.609375 1514433468.5646
MEM 153.589844 1514433468.6731
MEM 169.421875 1514433468.7839
MEM 178.417969 1514433468.8952
MEM 161.109375 1514433469.0050
MEM 166.382812 1514433469.1166
MEM 173.710938 1514433469.2288
MEM 175.515625 1514433469.3382
MEM 176.550781 1514433469.4499
MEM 179.750000 1514433469.5584
MEM 183.515625 1514433469.6706
MEM 183.703125 1514433469.7792
MEM 184.136719 1514433469.8912
MEM 184.496094 1514433470.0011
MEM 185.847656 1514433470.1095
MEM 178.644531 1514433470.2226
MEM 178.824219 1514433470.3318
MEM 179.351562 1514433470.4420
MEM 179.101562 1514433470.5557
MEM 179.203125 1514433470.6627
MEM 179.328125 1514433470.7721
MEM 176.281250 1514433470.8873
MEM 176.281250 1514433470.9958
MEM 176.386719 1514433471.1075
MEM 176.445312 1514433471.2193
MEM 176.445312 1514433471.3314
MEM 176.546875 1514433471.4385
MEM 176.621094 1514433471.5485
MEM 176.621094 1514433471.6595
MEM 176.621094 1514433471.7676
MEM 176.621094 1514433471.8795
MEM 176.621094 1514433471.9886
MEM 176.621094 1514433472.0981
MEM 176.621094 1514433472.2089
MEM 176.621094 1514433472.3186
MEM 0.000000 1514433472.4272
