CMDLINE /anaconda/envs/OSMNX/bin/python 19-Quick-Implement-for-difference-distance.py
MEM 2.449219 1514433546.6833
MEM 15.421875 1514433546.7886
MEM 28.027344 1514433546.8901
MEM 39.781250 1514433546.9923
MEM 60.714844 1514433547.0975
MEM 78.164062 1514433547.1984
MEM 89.949219 1514433547.3036
MEM 90.109375 1514433547.4042
MEM 90.425781 1514433547.5094
MEM 90.824219 1514433547.6145
MEM 90.921875 1514433547.7148
MEM 91.007812 1514433547.8158
MEM 91.113281 1514433547.9210
MEM 91.195312 1514433548.0262
MEM 92.613281 1514433548.1314
MEM 104.738281 1514433548.2335
MEM 112.441406 1514433548.3347
MEM 114.246094 1514433548.4358
MEM 114.535156 1514433548.5360
MEM 119.085938 1514433548.6411
MEM 124.886719 1514433548.7419
MEM 126.039062 1514433548.8444
MEM 126.082031 1514433548.9492
MEM 126.082031 1514433549.0545
MEM 126.082031 1514433549.1558
MEM 127.656250 1514433549.2570
MEM 127.785156 1514433549.3624
MEM 127.785156 1514433549.4653
MEM 139.980469 1514433549.5663
MEM 150.886719 1514433549.6682
MEM 167.097656 1514433549.7722
MEM 175.742188 1514433549.8761
MEM 159.406250 1514433549.9780
MEM 162.210938 1514433550.0832
MEM 168.351562 1514433550.1884
MEM 175.277344 1514433550.2923
MEM 175.445312 1514433550.3953
MEM 176.710938 1514433550.5005
MEM 179.628906 1514433550.6033
MEM 181.980469 1514433550.7036
MEM 182.121094 1514433550.8087
MEM 182.371094 1514433550.9137
MEM 183.050781 1514433551.0148
MEM 183.839844 1514433551.1200
MEM 177.195312 1514433551.2230
MEM 177.726562 1514433551.3245
MEM 178.019531 1514433551.4262
MEM 177.800781 1514433551.5273
MEM 177.800781 1514433551.6324
MEM 177.800781 1514433551.7373
MEM 176.550781 1514433551.8425
MEM 174.671875 1514433551.9475
MEM 175.015625 1514433552.0525
MEM 175.082031 1514433552.1573
MEM 175.082031 1514433552.2599
MEM 175.082031 1514433552.3641
MEM 175.390625 1514433552.4692
MEM 175.390625 1514433552.5744
MEM 175.390625 1514433552.6766
MEM 175.390625 1514433552.7817
MEM 175.390625 1514433552.8824
MEM 175.390625 1514433552.9870
MEM 175.390625 1514433553.0890
MEM 175.390625 1514433553.1902
MEM 175.390625 1514433553.2930
