CMDLINE python2 19-Quick-Implement-for-difference-distance.py
MEM 0.253906 1514433584.8612
MEM 13.621094 1514433584.9664
MEM 22.742188 1514433585.0682
MEM 28.253906 1514433585.1712
MEM 29.011719 1514433585.2764
MEM 41.484375 1514433585.3767
MEM 52.089844 1514433585.4788
MEM 61.570312 1514433585.5817
MEM 81.597656 1514433585.6833
MEM 100.425781 1514433585.7887
MEM 105.828125 1514433585.8905
MEM 105.980469 1514433585.9910
MEM 106.230469 1514433586.0919
MEM 106.609375 1514433586.1949
MEM 106.722656 1514433586.3001
MEM 106.808594 1514433586.4011
MEM 106.906250 1514433586.5025
MEM 106.996094 1514433586.6038
MEM 107.082031 1514433586.7090
MEM 118.011719 1514433586.8142
MEM 125.746094 1514433586.9182
MEM 125.984375 1514433587.0217
MEM 127.687500 1514433587.1247
MEM 128.890625 1514433587.2254
MEM 129.015625 1514433587.3281
MEM 129.015625 1514433587.4327
MEM 140.988281 1514433587.5366
MEM 146.480469 1514433587.6374
MEM 150.871094 1514433587.7405
MEM 162.445312 1514433587.8424
MEM 172.386719 1514433587.9473
MEM 179.242188 1514433588.0488
MEM 161.273438 1514433588.1493
MEM 163.843750 1514433588.2507
MEM 170.042969 1514433588.3551
MEM 175.269531 1514433588.4554
MEM 176.742188 1514433588.5578
MEM 177.914062 1514433588.6598
MEM 178.882812 1514433588.7613
MEM 183.417969 1514433588.8646
MEM 183.421875 1514433588.9655
MEM 183.617188 1514433589.0667
MEM 183.957031 1514433589.1704
MEM 183.980469 1514433589.2745
MEM 184.140625 1514433589.3772
MEM 175.648438 1514433589.4795
MEM 178.859375 1514433589.5837
MEM 179.472656 1514433589.6867
MEM 179.476562 1514433589.7900
MEM 178.730469 1514433589.8912
MEM 178.902344 1514433589.9948
MEM 179.378906 1514433590.0952
MEM 179.671875 1514433590.1955
MEM 174.515625 1514433590.2960
MEM 177.289062 1514433590.3995
MEM 177.371094 1514433590.5009
MEM 177.429688 1514433590.6019
MEM 177.429688 1514433590.7057
MEM 177.453125 1514433590.8062
MEM 177.503906 1514433590.9099
MEM 177.527344 1514433591.0103
MEM 177.527344 1514433591.1115
MEM 177.527344 1514433591.2140
MEM 177.542969 1514433591.3174
MEM 177.558594 1514433591.4221
MEM 177.562500 1514433591.5271
MEM 177.562500 1514433591.6298
MEM 177.566406 1514433591.7352
MEM 177.566406 1514433591.8364
MEM 177.566406 1514433591.9369
MEM 177.566406 1514433592.0419
MEM 182.628906 1514433592.1450
MEM 182.449219 1514433592.2453
MEM 188.144531 1514433592.3503
MEM 188.820312 1514433592.4514
MEM 190.589844 1514433592.5516
MEM 190.699219 1514433592.6540
MEM 192.527344 1514433592.7544
MEM 193.273438 1514433592.8548
MEM 193.273438 1514433592.9586
MEM 193.246094 1514433593.0620
MEM 193.246094 1514433593.1672
MEM 182.292969 1514433593.2682
MEM 182.167969 1514433593.3751
MEM 182.191406 1514433593.4776
MEM 182.191406 1514433593.5820
MEM 182.191406 1514433593.6822
MEM 182.191406 1514433593.7830
MEM 182.191406 1514433593.8832
MEM 182.191406 1514433593.9844
MEM 182.191406 1514433594.0882
MEM 182.226562 1514433594.1907
MEM 182.296875 1514433594.2949
MEM 182.296875 1514433594.3972
MEM 182.296875 1514433594.4999
MEM 182.296875 1514433594.6021
MEM 182.296875 1514433594.7073
MEM 182.296875 1514433594.8098
MEM 182.296875 1514433594.9132
MEM 182.296875 1514433595.0149
MEM 182.296875 1514433595.1154
MEM 182.296875 1514433595.2174
MEM 182.867188 1514433595.3177
MEM 183.093750 1514433595.4208
MEM 183.093750 1514433595.5221
MEM 183.093750 1514433595.6235
MEM 183.093750 1514433595.7270
MEM 183.093750 1514433595.8286
MEM 183.093750 1514433595.9338
MEM 183.093750 1514433596.0369
MEM 183.093750 1514433596.1399
MEM 183.093750 1514433596.2432
MEM 183.093750 1514433596.3484
MEM 183.093750 1514433596.4534
MEM 183.093750 1514433596.5536
MEM 183.093750 1514433596.6545
MEM 183.093750 1514433596.7563
MEM 183.093750 1514433596.8594
MEM 183.093750 1514433596.9640
MEM 183.093750 1514433597.0687
MEM 183.093750 1514433597.1715
MEM 183.093750 1514433597.2767
MEM 183.093750 1514433597.3816
MEM 183.093750 1514433597.4826
MEM 183.093750 1514433597.5833
MEM 183.093750 1514433597.6867
MEM 183.093750 1514433597.7886
MEM 183.093750 1514433597.8890
MEM 183.093750 1514433597.9918
MEM 183.093750 1514433598.0946
MEM 183.093750 1514433598.1949
MEM 183.093750 1514433598.3002
MEM 183.093750 1514433598.4051
MEM 183.093750 1514433598.5104
MEM 183.093750 1514433598.6146
MEM 183.093750 1514433598.7179
MEM 183.093750 1514433598.8187
MEM 183.093750 1514433598.9239
MEM 183.093750 1514433599.0291
MEM 183.093750 1514433599.1293
MEM 183.093750 1514433599.2301
MEM 183.093750 1514433599.3318
MEM 183.093750 1514433599.4352
MEM 183.093750 1514433599.5402
MEM 183.093750 1514433599.6419
MEM 183.093750 1514433599.7472
MEM 183.093750 1514433599.8475
MEM 183.093750 1514433599.9517
MEM 183.093750 1514433600.0533
MEM 183.093750 1514433600.1549
MEM 183.093750 1514433600.2585
MEM 183.093750 1514433600.3629
MEM 183.093750 1514433600.4634
MEM 183.093750 1514433600.5639
MEM 183.093750 1514433600.6656
MEM 183.093750 1514433600.7663
MEM 183.093750 1514433600.8701
MEM 183.093750 1514433600.9717
MEM 183.105469 1514433601.0814
MEM 183.105469 1514433601.1827
MEM 183.105469 1514433601.2883
MEM 183.105469 1514433601.3919
MEM 183.105469 1514433601.4971
MEM 183.105469 1514433601.5978
MEM 183.105469 1514433601.6984
MEM 183.105469 1514433601.8036
MEM 183.105469 1514433601.9088
MEM 183.105469 1514433602.0139
MEM 183.105469 1514433602.1157
MEM 183.105469 1514433602.2178
MEM 183.105469 1514433602.3216
MEM 183.105469 1514433602.4218
MEM 183.105469 1514433602.5250
MEM 183.105469 1514433602.6285
MEM 183.105469 1514433602.7318
MEM 183.105469 1514433602.8339
MEM 183.105469 1514433602.9372
MEM 183.105469 1514433603.0400
MEM 183.105469 1514433603.1452
MEM 183.105469 1514433603.2476
