CMDLINE python2.7 19-Quick-Implement-for-difference-distance.py
MEM 0.011719 1514434390.0844
MEM 13.597656 1514434390.1853
MEM 21.675781 1514434390.2860
MEM 28.167969 1514434390.3865
MEM 28.863281 1514434390.4916
MEM 38.343750 1514434390.5959
MEM 51.761719 1514434390.6981
MEM 66.816406 1514434390.8018
MEM 81.941406 1514434390.9049
MEM 100.429688 1514434391.0097
MEM 106.007812 1514434391.1105
MEM 106.218750 1514434391.2157
MEM 106.441406 1514434391.3177
MEM 106.828125 1514434391.4228
MEM 106.933594 1514434391.5274
MEM 107.019531 1514434391.6277
MEM 107.121094 1514434391.7287
MEM 107.191406 1514434391.8318
MEM 108.468750 1514434391.9370
MEM 122.417969 1514434392.0410
MEM 125.949219 1514434392.1420
MEM 127.335938 1514434392.2472
MEM 128.457031 1514434392.3525
MEM 128.949219 1514434392.4545
MEM 129.074219 1514434392.5591
MEM 139.136719 1514434392.6610
MEM 149.867188 1514434392.7643
MEM 163.796875 1514434392.8654
MEM 175.007812 1514434392.9667
MEM 161.335938 1514434393.0690
MEM 165.238281 1514434393.1719
MEM 168.039062 1514434393.2731
MEM 175.335938 1514434393.3783
MEM 177.292969 1514434393.4829
MEM 178.207031 1514434393.5881
MEM 181.097656 1514434393.6931
MEM 183.855469 1514434393.7944
MEM 183.937500 1514434393.8985
MEM 184.148438 1514434394.0037
MEM 184.226562 1514434394.1041
MEM 184.359375 1514434394.2054
MEM 179.238281 1514434394.3106
MEM 179.355469 1514434394.4157
MEM 179.769531 1514434394.5188
MEM 179.269531 1514434394.6196
MEM 179.269531 1514434394.7214
MEM 179.269531 1514434394.8266
MEM 173.113281 1514434394.9310
MEM 173.113281 1514434395.0314
MEM 176.109375 1514434395.1366
MEM 176.175781 1514434395.2396
MEM 176.175781 1514434395.3417
MEM 176.183594 1514434395.4465
MEM 176.351562 1514434395.5517
MEM 176.355469 1514434395.6568
MEM 176.355469 1514434395.7619
MEM 176.355469 1514434395.8629
MEM 176.355469 1514434395.9670
MEM 176.355469 1514434396.0722
MEM 176.355469 1514434396.1760
MEM 176.355469 1514434396.2770
MEM 176.359375 1514434396.3804
MEM 176.359375 1514434396.4855
MEM 176.359375 1514434396.5892
MEM 176.359375 1514434396.6915
MEM 181.421875 1514434396.7962
MEM 186.550781 1514434396.8972
MEM 187.015625 1514434397.0022
MEM 189.316406 1514434397.1074
MEM 189.917969 1514434397.2126
MEM 192.445312 1514434397.3177
MEM 192.445312 1514434397.4229
MEM 192.445312 1514434397.5280
MEM 192.445312 1514434397.6332
MEM 181.558594 1514434397.7362
MEM 181.562500 1514434397.8393
MEM 181.562500 1514434397.9445
MEM 181.562500 1514434398.0450
MEM 181.562500 1514434398.1452
MEM 181.562500 1514434398.2495
MEM 181.562500 1514434398.3547
MEM 181.562500 1514434398.4598
MEM 181.562500 1514434398.5605
MEM 181.738281 1514434398.6657
MEM 181.738281 1514434398.7709
MEM 181.738281 1514434398.8732
MEM 181.738281 1514434398.9784
MEM 181.738281 1514434399.0817
MEM 181.738281 1514434399.1830
MEM 181.738281 1514434399.2883
MEM 181.738281 1514434399.3935
MEM 181.738281 1514434399.4987
MEM 182.093750 1514434399.6019
MEM 182.093750 1514434399.7069
MEM 182.093750 1514434399.8118
MEM 182.093750 1514434399.9124
MEM 182.093750 1514434400.0162
MEM 182.093750 1514434400.1207
MEM 182.093750 1514434400.2250
MEM 182.093750 1514434400.3294
MEM 182.093750 1514434400.4299
MEM 182.093750 1514434400.5302
MEM 182.097656 1514434400.6328
MEM 182.121094 1514434400.7340
MEM 182.121094 1514434400.8353
MEM 182.144531 1514434400.9372
MEM 182.144531 1514434401.0375
MEM 182.144531 1514434401.1404
MEM 182.144531 1514434401.2426
MEM 182.144531 1514434401.3478
MEM 182.144531 1514434401.4486
MEM 182.144531 1514434401.5538
MEM 182.144531 1514434401.6590
MEM 182.144531 1514434401.7623
MEM 182.144531 1514434401.8646
MEM 182.144531 1514434401.9649
MEM 182.144531 1514434402.0701
MEM 182.144531 1514434402.1753
MEM 182.144531 1514434402.2805
MEM 182.144531 1514434402.3857
MEM 182.144531 1514434402.4888
MEM 182.144531 1514434402.5929
MEM 182.144531 1514434402.6962
MEM 182.144531 1514434402.7985
MEM 182.144531 1514434402.8995
MEM 182.144531 1514434403.0047
MEM 182.144531 1514434403.1063
MEM 182.144531 1514434403.2088
MEM 182.144531 1514434403.3140
MEM 182.144531 1514434403.4192
MEM 182.144531 1514434403.5214
MEM 182.144531 1514434403.6222
MEM 182.144531 1514434403.7246
MEM 182.144531 1514434403.8261
MEM 182.144531 1514434403.9282
MEM 182.144531 1514434404.0332
MEM 182.144531 1514434404.1356
MEM 182.144531 1514434404.2403
MEM 182.144531 1514434404.3429
MEM 182.144531 1514434404.4481
MEM 182.144531 1514434404.5533
MEM 182.144531 1514434404.6545
MEM 182.144531 1514434404.7564
MEM 182.144531 1514434404.8578
MEM 182.144531 1514434404.9596
MEM 182.144531 1514434405.0633
MEM 182.144531 1514434405.1651
MEM 182.144531 1514434405.2703
MEM 182.144531 1514434405.3728
MEM 182.144531 1514434405.4730
MEM 182.144531 1514434405.5764
MEM 182.144531 1514434405.6790
MEM 182.144531 1514434405.7841
MEM 182.144531 1514434405.8849
MEM 182.144531 1514434405.9877
MEM 182.144531 1514434406.0919
MEM 182.128906 1514434406.1971
MEM 182.128906 1514434406.2976
MEM 182.128906 1514434406.3995
MEM 182.128906 1514434406.5000
MEM 182.128906 1514434406.6027
MEM 182.128906 1514434406.7036
MEM 182.128906 1514434406.8042
MEM 182.128906 1514434406.9079
MEM 182.128906 1514434407.0094
MEM 182.128906 1514434407.1126
MEM 182.128906 1514434407.2159
MEM 182.128906 1514434407.3166
MEM 182.128906 1514434407.4183
MEM 182.128906 1514434407.5195
MEM 182.128906 1514434407.6247
MEM 182.128906 1514434407.7254
MEM 182.128906 1514434407.8283
MEM 182.128906 1514434407.9327
MEM 182.128906 1514434408.0379
MEM 182.128906 1514434408.1430
MEM 182.128906 1514434408.2482
MEM 182.128906 1514434408.3522
MEM 182.128906 1514434408.4536
MEM 182.128906 1514434408.5561
MEM 182.128906 1514434408.6564
MEM 182.128906 1514434408.7575
MEM 182.128906 1514434408.8613
MEM 182.128906 1514434408.9666
MEM 182.128906 1514434409.0718
MEM 182.128906 1514434409.1736
MEM 182.128906 1514434409.2788
MEM 182.128906 1514434409.3840
MEM 182.128906 1514434409.4867
MEM 182.128906 1514434409.5918
MEM 182.128906 1514434409.6953
MEM 182.128906 1514434409.7985
MEM 182.128906 1514434409.9006
MEM 182.128906 1514434410.0027
MEM 182.128906 1514434410.1079
MEM 182.128906 1514434410.2130
MEM 182.128906 1514434410.3138
MEM 182.128906 1514434410.4190
MEM 182.128906 1514434410.5194
MEM 182.128906 1514434410.6196
MEM 182.128906 1514434410.7210
MEM 182.128906 1514434410.8261
MEM 182.128906 1514434410.9313
MEM 182.128906 1514434411.0317
MEM 182.128906 1514434411.1345
MEM 182.128906 1514434411.2393
MEM 182.128906 1514434411.3402
MEM 182.128906 1514434411.4454
MEM 182.128906 1514434411.5480
MEM 182.128906 1514434411.6532
MEM 182.128906 1514434411.7538
MEM 182.128906 1514434411.8552
MEM 182.128906 1514434411.9598
MEM 182.128906 1514434412.0647
MEM 182.128906 1514434412.1697
MEM 182.128906 1514434412.2736
MEM 182.128906 1514434412.3777
MEM 182.128906 1514434412.4827
MEM 182.128906 1514434412.5833
MEM 182.128906 1514434412.6860
MEM 182.128906 1514434412.7896
MEM 182.128906 1514434412.8948
MEM 182.128906 1514434412.9954
MEM 182.128906 1514434413.1007
MEM 182.128906 1514434413.2057
MEM 182.128906 1514434413.3064
MEM 182.128906 1514434413.4072
